GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
50025009681,50,025,009681,1177,1169,1,4,2,1,0,849,842,0,4,2,1,0,158,277,36025,83950,NA,NA,09150,1,1
50025009682,50,025,009682,1512,1478,7,12,1,14,0,1154,1131,7,8,1,7,0,289,118,NA,31150,04500,02520,NA,1,1
50025009683,50,025,009683,1863,1846,0,3,0,14,0,1390,1381,0,2,0,7,0,433,423,NA,18325,03570,02520,NA,1,1
50025009684,50,025,009684,3629,3564,16,21,4,19,5,2739,2703,7,12,4,11,2,902.15,636.14,78850,7900,02490,02520,NA,1,1
50025009685,50,025,009685,5942,5712,64,75,12,77,2,4455,4321,35,39,9,49,2,1467.35,1034.68,7975,7900,02490,02520,NA,1,1
50025009686,50,025,009686,2670,2553,17,41,4,48,7,2145,2047,11,35,4,42,6,706.5,498.18,7975,7900,02490,02520,NA,1,1
50025009687,50,025,009687,3791,3752,3,27,7,2,0,2725,2705,3,13,4,0,0,412,413,NA,30925,04470,02520,NA,1,1
50027009650,50,027,009650,3093,3007,20,17,5,38,6,2210,2155,14,12,4,23,2,1134,496,NA,52900,06180,NA,NA,1,1
50027009651,50,027,009651,2389,2354,7,12,5,9,2,1775,1754,4,11,1,3,2,451,472,NA,60850,NA,NA,06990,1,1
50027009652,50,027,009652,1866,1839,4,6,1,16,0,1369,1353,3,4,1,8,0,359,393,NA,5800,02250,NA,NA,1,1
50027009653,50,027,009653,1181,1153,1,15,8,1,3,873,858,1,11,2,1,0,286,279,NA,60100,NA,NA,06900,1,1
50027009654,50,027,009654,3575,3534,6,16,7,5,7,2650,2627,3,10,4,1,5,191,245,NA,63775,07260,09510,NA,1,1
50027009655,50,027,009655,5093,4989,34,28,9,31,2,3843,3769,24,22,5,21,2,953.98,908.5,NA,32275,NA,NA,04590,1,1
50027009656,50,027,009656,4311,4200,16,26,15,54,0,3255,3186,10,14,9,36,0,808.02,769.5,83575,32275,NA,NA,04590,1,1
50027009657,50,027,009657,2988,2953,5,12,4,13,1,2198,2173,4,9,4,7,1,633,637,NA,32425,04620,NA,NA,1,1
50027009658,50,027,009658,3212,3170,8,12,7,10,5,2466,2444,5,9,4,3,1,841,920,85900,85975,09480,09510,NA,1,1
50027009659,50,027,009659,2872,2840,3,9,8,12,0,2226,2211,1,5,5,4,0,137,180,NA,56050,06540,09510,NA,1,1
50027009660,50,027,009660,3714,3670,7,16,11,10,0,2839,2811,4,10,8,6,0,845,840,NA,84925,NA,NA,09300,1,1
50027009661,50,027,009661,2674,2654,0,10,5,4,1,2064,2056,0,5,2,1,0,562,654,54850,77500,NA,NA,08700,1,1
50027009662,50,027,009662,1513,1489,2,8,3,11,0,1154,1138,2,5,3,6,0,267,349,NA,12250,03010,08248,01920,1,1
50027009663,50,027,009663,2302,2287,1,10,2,2,0,1768,1761,0,5,1,1,0,525,591,41200,41275,05250,08241,NA,1,1
50027009664,50,027,009664,861,855,3,2,0,1,0,685,680,2,2,0,1,0,186,173,NA,82000,07380,09510,NA,1,1
50027009665,50,027,009665,2832,2817,2,10,1,1,1,2076,2066,2,6,1,0,1,574,740,13700,13675,08245,08248,NA,1,1
50027009666,50,027,009666,5267,5184,3,22,13,45,0,4035,3987,2,12,10,24,0,1206.97,1171.16,69475,69550,NA,NA,07530,1,1
50027009667,50,027,009667,4312,4252,5,24,18,13,0,3176,3144,4,14,10,4,0,950.03,921.84,69475,69550,NA,NA,07530,1,1
