GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SSCRJAC,G18SSCRANG,G18SSCDEAR,G18SACRHEA,G18SACDARR,G18SACRGRI,G18SACRRAY,G18SACDHAM,G18SACRKIT,G18SACDCOL,G18SACLMON
3700700GULL,37,007,00GULL,145,46,333,182,335,156,46,318,189,322,9
3700700LILE,37,007,00LILE,306.55,148.41,731.27,441.12,748.08,359.97,91.04,728.3,446.06,715.47,19.77
3700700PEAC,37,007,00PEAC,348.73,150.85,163.59,483.91,176.32,400.64,96,147.91,486.84,153.79,17.63
3700700POLK,37,007,00POLK,168.9,81.82,184.89,245.64,194.96,199.19,48.52,181.81,243.66,185.84,5.1
370070WADES,37,007,0WADES,695,334,1922,959,1984,803,224,1903,972,1912,61
37009000002,37,009,000002,320.51,201.5,209.63,510,225.66,358.35,153.66,201.56,470.93,204.59,50.12
37009000003,37,009,000003,157.06,52.35,65.19,208.42,68.16,140.27,69.15,58.28,200.52,61.24,12.84
37009000004,37,009,000004,98.66,62.87,112.21,149.93,125.75,101.57,54.17,108.34,145.09,112.21,12.57
37009000006,37,009,000006,123,86,78,206,82,137,70,72,193,72,23
37009000007,37,009,000007,86,47,74,133,68,85,49,64,119,67,14
37009000008,37,009,000008,39,27,41,63,44,43,19,39,58,42,6
37009000009,37,009,000009,744.9,438.33,667.15,1111.14,723.25,750.33,415.76,615.05,1078.76,639.15,102.43
37009000010,37,009,000010,63,28,39,85,45,57,36,36,81,36,13
37009000011,37,009,000011,452.92,223.36,366.65,663.24,374.72,442.53,222.68,339.88,631.35,338.43,66.05
37009000012,37,009,000012,171,86,121,257,119,189,62,108,240,113,18
37009000013,37,009,000013,247.66,198.07,182.53,437.85,191.33,284.27,149.78,174.7,405.86,182.51,36.88
37009000014,37,009,000014,592,302.7,469.47,878.22,478.88,567.63,300.22,434.86,822.13,446.55,77.91
37009000015,37,009,000015,262.3,135.58,125.64,382.87,137.66,261.74,125.05,114.47,365.44,123.46,23.67
37009000016,37,009,000016,506.34,288.44,388.8,787.6,384.1,556.53,236.49,353.03,738.13,359.18,74.5
37009000017,37,009,000017,189,147,96,326,111,219,108,94,310,89,28
37009000018,37,009,000018,34,29,21,60,23,47,16,21,56,17,10
37009000020,37,009,000020,651.87,419.03,582.54,1029.48,619.97,657.58,377.78,551.76,982.58,543.05,101.16
37011000001,37,011,000001,227,178,104,400,113,286,109,92,381,105,23
37011000002,37,011,000002,409.01,327,408.01,736.01,418.01,500.01,242,395.01,690.01,386.01,72
37011000003,37,011,000003,99,107,42,213,42,160,41,41,205,37,11
37011000004,37,011,000004,15,13,10,25,10,16,8,9,25,10,1
37011000005,37,011,000005,70,58,23,130,20,96,27,19,121,23,4
37011000006,37,011,000006,145,130,59,279,60,190,65,58,266,56,12
37011000007,37,011,000007,69,48,10,117,10,94,20,7,113,9,4
37011000008,37,011,000008,71,64,35,130,39,103,34,29,124,33,9
37011000009,37,011,000009,119,59,28,183,29,142,33,24,176,21,13
37011000010,37,011,000010,194,159,73,351,81,246,98,72,327,74,27
37011000011,37,011,000011,137,67,109,199,115,137,64,102,189,105,17
37011000012,37,011,000012,83,52,26,140,23,102,26,27,136,21,6
37011000013,37,011,000013,114,88,74,210,71,139,55,71,202,65,12
37011000014,37,011,000014,221,147,89,366,92,258,99,78,357,77,22
37011000015,37,011,000015,137,127,73,259,80,178,73,69,248,69,15
37011000016,37,011,000016,303,255,264,560,265,386,162,245,540,242,39
37011000017,37,011,000017,127,99,34,219,34,164,57,31,214,30,13
37011000018,37,011,000018,76,51,36,128,35,93,37,30,124,30,6
37011000019,37,011,000019,84,63,13,149,13,115,25,14,141,12,7
370130000HB,37,013,0000HB,250,145,69,387,78,308,82,65,371,73,19
3701300BLCK,37,013,00BLCK,200.2,104.58,216.13,287.84,228.08,217.13,81.67,217.13,276.89,215.14,22.91
3701300NCRK,37,013,00NCRK,396,172,184,549,197,405,151,185,540,189,14
3701300OLDF,37,013,00OLDF,279,142,394,402,407,300,116,393,367,388,43
3701300RVRD,37,013,00RVRD,540,264,423,768,444,586,209,402,733,430,45
3701300TCRK,37,013,00TCRK,651.45,303.21,333.64,934.64,345.65,708.51,239.14,324.64,896.61,326.64,53.05
3701300WDPD,37,013,00WDPD,400,220,186,601,201,439,170,179,577,193,31
370130AUROR,37,013,0AUROR,209.96,81.98,341.94,287.95,341.94,193.96,107.98,324.94,267.95,332.94,26.99
370130BEADM,37,013,0BEADM,525,278,167,780,180,585,204,161,752,163,34
370130BELHV,37,013,0BELHV,324.8,137.92,425.74,449.73,434.74,323.8,140.91,417.75,433.74,422.74,26.98
370130CHOCO,37,013,0CHOCO,784.09,419.37,639.06,1166.77,662.59,847.39,344.23,633.82,1123.1,635.51,61.79
370130EDWAR,37,013,0EDWAR,196.84,95.43,207.93,278.21,222.98,194.91,89.35,214.93,268.16,209.93,24.1
370130GILEA,37,013,0GILEA,656.46,235.78,446.12,854.08,474.49,592.87,304.26,434.38,814.95,465.69,47.94
370130PANTE,37,013,0PANTE,306,99,236,394,242,336,73,223,392,231,16
370130PINET,37,013,0PINET,304.59,168.65,79.6,459.86,91.33,353.54,118.56,76.71,452.68,76.82,23.38
370130PSJW3,37,013,0PSJW3,138,61,537,191,539,126,70,523,176,531,21
370130SURBA,37,013,0SURBA,655,278,255,884,292,661,253,256,853,265,52
370130WASH1,37,013,0WASH1,191.72,96.84,465.61,272.91,468.55,186.83,109.56,448.01,262.15,444.09,36.19
370130WASH2,37,013,0WASH2,166,73,500,228,509,154,88,493,216,496,17
370130WASH4,37,013,0WASH4,440,243,535,655,554,476,220,506,635,522,53
370130WASHP,37,013,0WASHP,315.28,148.16,283.39,441.09,293.45,317.17,142.44,277.99,411.85,285.91,36.81
370150000C1,37,015,0000C1,183,75,173,265,175,227,40,167,262,172,6
370150000C2,37,015,0000C2,137,59,491,200,508,154,50,498,193,498,11
370150000IW,37,015,0000IW,14.76,7.63,178.72,21.39,188.8,10.47,12.01,186.68,22.14,184.73,2.33
370150000M1,37,015,0000M1,118,67,173,184,180,153,34,175,181,179,1
370150000M2,37,015,0000M2,80,40,244,125,256,89,38,247,120,249,4
370150000MH,37,015,0000MH,123.23,48.08,269.23,183.32,267.24,152.25,34.06,263.23,178.3,263.24,6.01
370150000RX,37,015,0000RX,89,49,349.98,139.99,362.98,107,36,360.98,130.99,357.98,10
370150000SN,37,015,0000SN,50,26,346,70,351,57,13,349,69,346,4
370150000W1,37,015,0000W1,445.73,193.28,1287.89,629.07,1303.87,496.06,148.99,1276.93,594.06,1285.91,48
370150000W2,37,015,0000W2,222,89,17,321,23,273,45,17,310,23,2
370150000WD,37,015,0000WD,49.06,14.73,349.8,57.89,365.98,50.02,25.98,349.82,54.43,359.89,8.6
370150000WH,37,015,0000WH,238.77,81.92,242.77,326.68,243.76,263.75,62.94,237.77,307.7,247.76,13.99
37017000P10,37,017,000P10,175.99,49,143.99,210.99,156.99,173.99,41,151.99,204.99,150.99,9
37017000P15,37,017,000P15,854.95,288.58,419.83,1130.06,424.35,910.37,217.01,414.97,1096.77,418.78,29.85
37017000P25,37,017,000P25,227,83,304,295,318,222,90,295,286,311,17
37017000P30,37,017,000P30,87.41,36.84,638.23,117.31,638.24,83.52,40.73,640.2,108.39,642.18,9.93
37017000P35,37,017,000P35,111.88,41.72,205.74,145.06,211.43,120.41,30.34,206.69,137.48,211.43,5.69
37017000P40,37,017,000P40,427.18,171.11,280.15,589.19,287.24,440.96,163.99,267.54,576.42,284.25,14.87
37017000P45,37,017,000P45,121,45,81,163,80,131,31,83,155,86,7
37017000P55,37,017,000P55,93,60,189,150,192,116,42,182,143,185,9
37017000P60,37,017,000P60,258.66,128.68,467.55,379.3,472.59,290.78,96.56,464.53,372.24,457.53,21.13
37017000P65,37,017,000P65,162.23,66.47,119.16,217.97,127.9,165.28,56.64,122.97,215.99,125.95,6.88
37017000P70,37,017,000P70,66.58,41.36,127.35,107.92,128.34,83.67,27.22,126.35,99.88,129.34,7.05
37017000P75,37,017,000P75,135.92,67.96,448.75,193.89,452.75,139.92,56.97,449.75,180.9,449.75,16.99
37017000P80,37,017,000P80,260.96,72.12,218.26,323.6,228.7,269.5,60.74,221.11,317.9,217.31,17.08
3701700P201,37,017,00P201,459.77,158.92,197.9,596.7,212.89,468.76,140.93,199.9,581.71,209.89,21.99
3701700P202,37,017,00P202,707,227,377,923,391,754,175,376,896,386,23
3701700P501,37,017,00P501,559,170,940,701,958,572,148,940,668,952,29
3701700P502,37,017,00P502,307.44,109.02,545.37,410.8,543.83,318.21,97.24,539.14,399.1,549.76,10.64
37019000001,37,019,000001,351.68,137.89,402.67,476.59,414.66,332.72,153.86,406.67,460.6,402.67,27.98
37019000002,37,019,000002,1194.98,471.97,1542.47,1615.87,1568.62,1119.6,562.14,1514.29,1544.74,1513.46,138.2
37019000003,37,019,000003,221.67,87.41,419.44,292.49,433.97,218.19,97.6,407.75,279.57,406.84,36.29
37019000005,37,019,000005,807.93,349.52,587.67,1139.44,614.59,816.7,351.67,568.68,1091.54,596.53,53.03
37019000006,37,019,000006,323.75,185.28,254.34,502.26,259.18,361.04,147.02,244.77,477.29,247.66,28.84
37019000007,37,019,000007,808,332,804,1097,841,744,375,801,1035,814,83
37019000008,37,019,000008,1397.18,498.01,1230.19,1824.04,1301.34,1318.13,607.69,1186.72,1711.4,1272.68,132.41
37019000009,37,019,000009,287,168,286,440,301,324,145,274,434,283,24
37019000011,37,019,000011,340.47,179.14,526.54,499.82,543.37,369.17,146.48,518.62,482.99,519.61,32.66
37019000012,37,019,000012,785.41,357.96,481.71,1101.09,523.97,770.89,358.73,484.6,1044.13,508.13,60.98
37019000013,37,019,000013,709.08,329.18,525.9,1008.41,554.75,763.73,270.56,518.94,966.64,513.01,74.56
37019000014,37,019,000014,1243.92,581.82,734.1,1756.59,793.25,1291.27,526.44,723.06,1684.36,756.99,100.44
37019000015,37,019,000015,1889,688,1144,2488,1230,1888,689,1135,2410,1186,119
37019000016,37,019,000016,1493,598,1084,2037,1123,1446,671,1039,1940,1092,119
37019000017,37,019,000017,1740,613,1222,2278,1296,1686,660,1223,2204,1252,111
37019000018,37,019,000018,405.14,244.56,218.33,630.31,239.65,471.97,176.62,218.33,610.95,235.51,24.43
37019000019,37,019,000019,1408,592,935,1938,977,1383,611,920,1882,944,97
37019000020,37,019,000020,1025,413,472,1384,523,1035,420,458,1342,481,84
37019000021,37,019,000021,1225.98,551.92,733.3,1715.32,791.52,1175.12,594.96,735.1,1620.54,758.17,130.51
37019000022,37,019,000022,794,278,567,1034,602,754,315,556,984,573,73
37019000023,37,019,000023,804,352,625,1137,643,805,371,598,1068,616,92
3701900004A,37,019,00004A,2334.21,839.32,2444.27,3047.2,2560.07,2123.66,1095.81,2377.28,2867.28,2489.25,240.22
3701900010A,37,019,00010A,1155.95,460.43,775.97,1563.51,813.85,1138.79,488.29,757.01,1487.38,809.44,84.27
3701900010B,37,019,00010B,2113.99,647.46,1474.59,2639.53,1580.49,1876.02,907.81,1431.05,2546.1,1583.14,91.68
370190004B2,37,019,0004B2,1625,576,1654,2121,1726,1478,755,1613,1987,1679,178
370210001.1,37,021,0001.1,101.91,46.96,1189.98,143.88,1194.98,99.91,56.95,1184.99,115.9,1169,52.95
370210002.1,37,021,0002.1,88.87,50.93,1931.93,113.85,1956.92,64.97,60.93,1942.83,90.92,1915.88,67.88
370210003.1,37,021,0003.1,62.58,36.74,1456.3,82.46,1477.14,53.65,45.68,1454.31,70.53,1436.44,45.68
370210004.1,37,021,0004.1,111,64,908,154,926,102,71,904,139,912,26
370210005.1,37,021,0005.1,374.06,118.09,1482.06,454.64,1521.54,305.32,177.94,1481.07,420.06,1501.77,56.3
370210006.1,37,021,0006.1,180,59,772,222,791,154,89,760,203,775,30
370210007.1,37,021,0007.1,131,52,1119,170,1139,124,65,1121,148,1122,33
370210008.2,37,021,0008.2,225.14,74.71,1170.52,291.88,1187.46,197.25,110.58,1160.56,268.97,1144.62,56.78
370210008.3,37,021,0008.3,201.42,100.36,1169.72,287,1188.45,212.96,88.83,1163.81,263.37,1150.1,56.08
370210009.1,37,021,0009.1,323,150,1716,445,1743,330,143,1710,415,1684,90
370210010.1,37,021,0010.1,31.68,21.12,676.59,42.24,691.22,24.37,27.62,683.09,32.49,674.16,26.8
370210011.1,37,021,0011.1,32,20,678,43,693,27,35,675,32,673,28
370210012.1,37,021,0012.1,103.01,69.67,1443.53,145.34,1472.99,106.78,65.88,1439.74,140.03,1422.45,59.85
370210013.1,37,021,0013.1,91.84,56.81,1254.52,129.71,1269.67,94.68,53.97,1254.52,120.24,1231.8,53.97
370210014.2,37,021,0014.2,156.51,76.3,1162.86,210.64,1184.02,141.35,89.36,1165.93,198.49,1156.75,45.45
370210014.3,37,021,0014.3,87.37,59.77,572.27,139.04,582.44,105.46,45.67,566.26,124.85,558.17,41.43
370210015.1,37,021,0015.1,158,62,1364,203,1380,138,99,1348,192,1340,50
370210016.2,37,021,0016.2,196.63,110.23,1471.73,292.96,1495.56,209.54,96.33,1470.74,265.15,1457.83,61.57
370210017.1,37,021,0017.1,164,62,965,196,998,137,82,967,175,978,41
370210018.2,37,021,0018.2,906.57,313.73,1833.91,1163.89,1892.31,865,380.04,1802.24,1095.6,1860.64,102.93
370210019.1,37,021,0019.1,175.91,72.12,525.96,237.47,542.67,158.32,84.44,530.36,224.28,513.65,36.94
370210020.1,37,021,0020.1,64,39,585,98,591,79,28,580,89,580,17
370210021.1,37,021,0021.1,301.64,100.47,1208.44,375.09,1237.4,278.25,127.35,1198.18,362.56,1194.62,53.46
370210022.2,37,021,0022.2,302,95,1344,370,1379,271,146,1327,354,1351,47
370210023.2,37,021,0023.2,89.51,27.91,235.8,103.95,250.24,72.18,37.54,239.65,98.17,245.43,11.55
370210023.3,37,021,0023.3,175.85,48.62,569.76,215.96,583.36,151.56,70.11,570.17,198.27,572.96,25.99
370210024.1,37,021,0024.1,374.98,145.56,845.4,495.48,872.39,344.14,174.48,836.72,467.52,840.58,56.87
370210025.1,37,021,0025.1,274.84,120.91,1080.87,370.73,1099.09,273.36,121.52,1074.94,360.32,1060.78,51.85
370210026.1,37,021,0026.1,142.68,82.5,929.77,212.44,941.52,149.73,82.76,921.41,196.74,906.97,53.37
370210027.2,37,021,0027.2,106.26,36.28,399.11,137.36,406.02,96.75,45.79,389.61,127.85,396.52,17.28
370210028.1,37,021,0028.1,133,55,1308,150,1337,118,68,1303,144,1284,66
370210029.2,37,021,0029.2,461.24,188.16,1228.64,613.07,1263.26,414.79,219.71,1231.57,567.4,1232.06,74.65
370210030.2,37,021,0030.2,536.17,161.75,667.96,660.97,703.91,510.21,186.71,665.97,635.01,686.93,48.92
370210030.3,37,021,0030.3,736.96,237.46,876,928.23,931.25,707.19,258.42,871.64,888.5,907.01,58.89
370210031.1,37,021,0031.1,422.91,104.86,634.07,494.36,668.36,363.78,151.91,637.13,468.81,662.07,28.73
370210032.1,37,021,0032.1,425,168,648,579,666,446,166,622,552,647,44
370210033.2,37,021,0033.2,247,85,515,321,529,241,91,505,311,507,34
370210033.3,37,021,0033.3,387.58,162.82,654.29,541.41,676.26,390.57,155.83,665.27,509.44,656.28,53.94
370210034.1,37,021,0034.1,209,69,546,271,558,217,67,544,253,541,33
370210035.1,37,021,0035.1,291,108,744,379,778,289,108,747,354,756,36
370210036.1,37,021,0036.1,406.22,135.44,644.46,519.93,671.14,390.42,143.33,645.46,496.2,653.35,44.49
370210037.1,37,021,0037.1,334.03,141.74,435.13,462.88,448.01,337.99,136.78,424.22,430.17,431.16,44.6
370210038.2,37,021,0038.2,520.22,199.6,506.99,699.49,531.36,539.55,188.23,491.85,680.76,490.19,55.95
370210038.3,37,021,0038.3,857,321,795,1138,851,866,305,788,1098,789,98
370210039.2,37,021,0039.2,294.99,123,540.78,405.8,556.72,300.23,126.87,526.15,384.46,525.3,47.25
370210039.3,37,021,0039.3,627.8,235.05,850.95,830.12,893.6,596.06,259.85,856.9,800.37,864.84,57.52
370210040.2,37,021,0040.2,984.82,419.84,842.6,1353.03,902.99,1038.39,354.57,843.57,1335.49,858.18,56.5
370210041.1,37,021,0041.1,796.56,341.08,688.51,1126.2,717.91,862.33,273.98,689.51,1089.15,692.83,60.89
370210042.1,37,021,0042.1,237.13,167.26,553.37,398.34,562,309.51,99.18,550.78,396.6,543.02,25.89
370210043.2,37,021,0043.2,216,100,564,303,582,226,96,558,301,547,38
370210044.1,37,021,0044.1,1078.05,383.18,1690.88,1397.98,1754.21,1080.8,406.04,1659.92,1338.6,1707.51,116.84
370210045.1,37,021,0045.1,800,307,1082,1084,1117,795,331,1058,1026,1092,79
370210046.1,37,021,0046.1,330.38,109.48,472.82,409.83,510.59,299.38,128.86,477.66,395.3,484.44,34.88
370210047.1,37,021,0047.1,1027.97,400.99,868.98,1401.97,922.98,1102.97,330.99,876.98,1338.97,866.98,117
370210048.1,37,021,0048.1,930,284,899,1196,925,907,324,875,1144,894,77
370210049.1,37,021,0049.1,929,432,797,1336,838,1016,347,786,1309,786,70
370210050.1,37,021,0050.1,395.43,184.1,390.03,563.9,408.91,457.74,116.64,386.25,549.13,396.29,27.39
370210051.2,37,021,0051.2,432.26,233.71,554.93,651.18,572.64,485.91,176.24,557.75,629.85,548.17,43.82
370210052.1,37,021,0052.1,990.92,384.71,788.97,1346.55,823.07,1069.09,317.54,778.96,1304.51,788.97,80.14
370210053.1,37,021,0053.1,830.1,277.7,644.3,1095.81,668.27,881.04,239.74,631.31,1079.83,646.3,38.96
370210054.2,37,021,0054.2,676.23,230.05,1139.85,888.63,1154.62,667.25,256.84,1107.7,837.89,1127.26,78.26
370210055.1,37,021,0055.1,694,232,993,890,1037,668,256,982,838,990,96
370210056.2,37,021,0056.2,394.87,145.12,873.65,529.13,898.33,384.01,170.78,861.81,495.56,846.01,77
370210057.1,37,021,0057.1,724.93,215.4,967.31,909.02,1008.36,691.89,265.81,945.81,880.32,970.87,64.57
370210058.1,37,021,0058.1,532.12,199.06,763.56,698.77,795.29,528.31,203.66,749.59,667.29,768.61,53.9
370210059.1,37,021,0059.1,905.26,310.52,1409.16,1153.68,1473.65,853.69,354.42,1403.17,1121.01,1423.9,76.9
370210060.2,37,021,0060.2,176.16,81.09,492.13,243.27,508.91,169.64,89.48,493.06,237.68,477.22,39.15
370210060.4,37,021,0060.4,319,129,621,415,651,307,145,608,402,623,34
370210061.1,37,021,0061.1,498,215,933,688,961,484,207,950,653,927,68
370210062.1,37,021,0062.1,454,175,942,588,987,439,177,946,570,943,58
370210063.1,37,021,0063.1,132.19,52.73,163.93,176.96,173.86,147.08,36.84,163.92,173.98,163.92,12.92
370210064.1,37,021,0064.1,452.76,162.19,568.02,602.95,584.27,447.22,157.44,573.14,575.36,556.97,53.67
370210065.1,37,021,0065.1,552.57,226.9,1067.97,751.1,1107.09,566.26,206.36,1077.75,716.87,1079.71,61.61
370210066.1,37,021,0066.1,292.24,118.81,549.98,388.05,578.73,279.78,124.56,552.86,374.64,549.03,38.33
370210067.1,37,021,0067.1,490.88,148.52,1050.53,616.74,1076.97,451.66,194.28,1037.11,579.3,1058.28,48.49
370210068.1,37,021,0068.1,1019,398,1154,1393,1194,1086,354,1130,1348,1130,108
370210069.1,37,021,0069.1,720.62,284.87,880.66,964.49,934.63,726.56,277.9,871.68,934.46,894.67,61.01
370210070.1,37,021,0070.1,392.2,195.62,1356.54,555.39,1383.47,396.51,181.91,1351.15,518.75,1346.35,74.63
370210071.1,37,021,0071.1,728.42,295.12,1409.43,973.03,1463.86,707.74,303.92,1407.4,920.55,1433.98,79.38
37023000001,37,023,000001,633.53,385.83,484.47,995.89,505.91,685.48,355.09,454.08,982.3,469.3,47.13
37023000003,37,023,000003,262,163,127,428,125,292,142,116,419,118,16
37023000011,37,023,000011,573,396,231,960,238,683,296,217,943,217,43
37023000012,37,023,000012,502.8,323.57,125.96,814.38,135.92,574.42,259.99,118.86,804.35,126.89,19.08
37023000013,37,023,000013,672.65,470.88,259.89,1135.19,265.32,822.76,331.34,246.42,1112.99,241.48,49.82
37023000014,37,023,000014,449,317,163,754,174,525,240,158,740,162,24
37023000015,37,023,000015,291.92,226.02,159.37,512.05,163.31,351.83,166.11,154.45,495.33,154.45,24.59
37023000018,37,023,000018,85.15,61.56,95.29,144.72,95.36,84.32,60.37,92.38,138.85,92.41,8.79
37023000019,37,023,000019,127.41,94.62,124.6,221.09,124.6,156.45,67.45,118.97,211.72,123.66,8.43
37023000020,37,023,000020,184,137,235,324,231,197,135,219,298,225,30
37023000021,37,023,000021,248.43,178.26,225.32,425.67,225.34,276.46,168.24,207.3,407.66,214.31,26.03
37023000022,37,023,000022,395,298,245,661,274,446,254,234,657,247,34
37023000024,37,023,000024,537.38,343.32,434.88,857.81,444.83,601.06,303.52,401.04,834.92,421.94,50.75
37023000031,37,023,000031,203,137,656,327,662,210,139,638,311,631,47
37023000034,37,023,000034,336.97,183.39,617.57,498.85,631.41,327.23,195.38,599.39,477.17,603.98,49.18
37023000035,37,023,000035,206,130,424,329,428,211,135,407,302,417,34
37023000036,37,023,000036,401.16,264.88,285.92,649.98,296.96,457.32,206.74,275.84,624.95,287.85,29.1
37023000038,37,023,000038,344,282,422,603,441,382,257,403,578,413,48
37023000039,37,023,000039,221,150,451,371,449,249,145,424,351,431,41
37023000040,37,023,000040,282,216,291,477,300,332,167,281,473,279,26
37023000048,37,023,000048,420,244,479,645,496,448,232,460,612,487,42
37023000051,37,023,000051,711,401,540,1048,590,725,377,532,1039,544,55
