GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREIWES,G20PREOOTH,G20PREOSAN,G20PREOWRI,G20HALDWEL,G20HALDRBE,G20HALCHEL,G20HALIBEC,G20HALIHOR,G20HALIORR,G20HALITRU,G20HALOWRI,G20GOVDZUC,G20GOVRSCO,G20GOVIHOY,G20GOVTPEY,G20GOVIWHI,G20GOVIBIL,G20GOVIDEV,G20GOVUDIC,G20GOVOWRI,G20LTGDGRA,G20LTGRMIL,G20LTGPERI,G20LTGIBIL,G20LTGBCOR,G20LTGOWRI,G20ATGDDON,G20ATGRPAI,G20ATGPERI,G20ATGOWRI,G20SOSDCON,G20SOSRPAI,G20SOSPERI,G20SOSISMI,G20SOSOWRI,G20TREDPEA,G20TRERBRA,G20TREPERI,G20TREIWRI,G20TREOWRI,G20AUDOHOF,G20AUDPERI,G20AUDOWRI
50025502519,50,025,502519,552.05,190.67,7.99,1,1,6.99,1,6.99,530.08,158.73,6.99,20.96,6.99,10.98,0,1,283.51,416.28,7.99,22.96,6.99,3.99,1,2.99,1,425.27,271.53,22.96,6.99,3.99,0,481.17,174.7,49.91,0,445.23,170.71,38.93,50.91,1,435.25,183.68,45.92,28.95,0,494.15,131.77,1
50025502520,50,025,502520,737.25,552.15,14.19,4.17,2.03,11.26,0.03,2.08,718.05,462.53,6.48,41.44,15.35,5.12,4.08,2.07,288.61,899.39,19.17,27.75,10.12,4.04,2.07,8.11,11.03,562.37,629.25,23.86,24.26,2.12,5.11,632.68,478.88,57.53,5.09,598.08,471.85,42.23,83.33,3.04,556.24,502.25,64.68,63.87,2.04,883.14,164.3,15.04
50025502521,50,025,502521,325,159,0,1,2,4,0,1,298,149,5,11,4,11,3,0,145,324,7,4,6,1,3,0,1,259,198,14,8,1,1,287,143,27,0,265,147,14,33,1,246,159,33,30,0,335,95,1
50025502522,50,025,502522,1280.19,419.39,12.32,13.32,6.34,16.95,4.98,1,1241.35,344.62,24.6,36.89,26.92,12.96,8.65,1,766.41,858.4,18.3,48.89,11.96,6.66,11.96,7.98,4.98,1095.6,509.63,65.48,29.63,9.97,1,1138.86,365.27,139.65,0,1100.94,372.61,94.39,98.14,0,1031.43,404.79,144.67,69.55,0,1105.72,382.46,8.97
50025502523,50,025,502523,399.2,341.56,22.08,2.02,1.02,10.03,0.03,3.02,377.11,307.38,6.08,23.17,7.04,7.02,7.02,2,191.27,486.26,39.12,14.12,12,4.02,1.02,4,0.02,320.83,367.65,20.18,19.06,2.02,3.02,353.98,314.45,38.23,0,323.92,314.31,21.22,56.24,0,313.78,327.52,30.22,42.15,2,499.41,129.69,8.02
50025502524,50,025,502524,797.82,342.57,11.08,0.08,5.02,8.13,0.03,2.05,732.54,298.32,3.2,40.22,16.08,12,5.05,4.02,387.15,698.26,12.05,23.18,7,4.05,2.02,7.03,4,653.67,422.17,23.27,15.17,3.03,5,680.77,335.49,54.74,4.05,647.82,315.3,47.7,68.43,2,636.42,334.69,45.63,59.37,2,778.69,177.3,10.03
50025502525,50,025,502525,191.44,85.54,2.08,0.02,2.03,8.07,0.04,0.04,177.32,67.11,5.01,7.22,4.09,10.29,2.01,0.01,70.76,196.92,7.14,4.19,3.06,3.01,0.04,1.01,0.01,128.2,126.36,13.37,4.1,3.04,0.02,163.12,77.24,30.5,1.01,155.7,78.28,29.52,9.43,0,122.4,85.48,38.65,12.34,0,167.94,85.5,1.05
50027502701,50,027,502701,222.47,134.13,5.01,0.02,2.04,7.05,1,2.06,216.07,118.62,1.06,6.16,4.08,18.44,0.04,0,95.44,250.1,10.09,4,3.1,1,1.04,0,1,172.84,172.39,16.26,3.99,0.02,0,216.78,117.97,15.41,0,203.14,117.06,21.52,16.43,0,184.92,137.11,24.68,12.25,0,260.67,53.77,1.04
50027502702,50,027,502702,63,72,3,0,3,2,0,0,67,61,1,4,0,3,0,1,28,101,1,1,2,0,1,1,4,42,87,5,1,1,1,62,56,6,0,55,59,7,7,0,40,66,9,8,0,86,34,1
50027502703,50,027,502703,458.67,174.59,4.93,5.92,0,7.89,3.95,3.95,460.64,151.9,8.88,8.88,5.92,3.95,3.95,0,195.3,440.92,0.99,7.89,5.92,0.99,0,0.99,1.97,369.9,251.53,11.84,1.97,1.97,4.93,432.04,148.94,32.55,0,406.39,167.69,15.78,33.54,0,385.68,173.6,23.67,38.47,0,460.64,99.63,1.97
50027502704,50,027,502704,744.72,391,15.12,4,2.04,11.5,3.12,3.12,766.11,307.61,11.04,32.23,19.54,9.15,3.15,0.04,322.06,792.2,14.35,9.31,6.08,8.08,0.08,3.15,4,579.91,532.42,21.42,21.27,4.08,3.12,720.75,324.31,67.27,0.04,670.64,343.81,39.77,75.46,0,640.45,363.5,62.81,58.5,0,843.94,181.27,6.08
