GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOTH,G16USSDWIE,G16USSRMOR,G16USSLGAR,G16USSOTH
20091920270,20,091,920270,119,107,16,9,0,119,114,14,0
20091920280,20,091,920280,104,63,18,8,5,97,77,19,0
20091920290,20,091,920290,165,105,22,8,6,153,129,18,0
20091920300,20,091,920300,173.7,136.5,23.5,6.8,8.3,155.5,166.8,22.8,0
20091920310,20,091,920310,316,293,33,6,19,265,377,22,0
20091920320,20,091,920320,109,88,13,6,10,108,96,19,0
20091920330,20,091,920330,397.4,529.6,37,7,18,316.3,617.7,48,0
20091920340,20,091,920340,0,0,0,0,0,0,0,0,0
20091920350,20,091,920350,156,76,25,14,3,142,96,24,2
20091920360,20,091,920360,232,114,24,4,7,218,138,18,0
20091920370,20,091,920370,50,52,3,2,2,47,54,10,0
20091920380,20,091,920380,167,142,13,10,11,154,149,32,2
20091920390,20,091,920390,0,0,0,0,0,0,0,0,0
20091920410,20,091,920410,0,2.4,0,0,0,0,2.4,0,0
20091920420,20,091,920420,0,0,0,0,0,0,0,0,0
2009192043A,20,091,92043A,0,0,0,0,0,0,0,0,0
20091920440,20,091,920440,26.8,80.5,3.8,2.9,1.9,27.8,88.2,0,0
20091920450,20,091,920450,36.8,155.4,9.2,3.1,5.8,36.5,131.1,38.6,0
20091920460,20,091,920460,88.8,276.3,18.8,8.9,5.9,67.1,253.6,68.1,0
20091920470,20,091,920470,0,0,0,0,0,0,0,0,0
20091920490,20,091,920490,156.2,77.8,7.2,11.1,3,148.1,78.9,20.2,0
20091920500,20,091,920500,317,320,32,7,19,283,366,42,0
20091920510,20,091,920510,380,311,39,24,14,341,351,59,1
20091920520,20,091,920520,0,0,0,0,0,0,0,0,0
20091920530,20,091,920530,288,484,76,19,23,250,490,134,0
20091920540,20,091,920540,245,241,24,4,7,223,279,14,0
20091920550,20,091,920550,23.4,31.9,2.5,0.8,0.8,19.1,37.3,2.5,0
20091920560,20,091,920560,245,166,26,5,6,231,167,36,0
20091920570,20,091,920570,254,163,24,13,6,218,203,29,0
20091920580,20,091,920580,366,494,32,12,20,306,574,24,0
20091920590,20,091,920590,0,2,0,0,0,0,2,0,0
20091920600,20,091,920600,6.5,9.7,0.3,0.1,0.2,4.5,11.8,0.3,0
20091920610,20,091,920610,1.6,10.5,0.8,1.6,0,3.2,9.7,1.6,0
20091920620,20,091,920620,5,7,1,0,0,5,6,3,0
20091920630,20,091,920630,3.6,7.6,0.1,0.2,0,4.6,4.6,2.4,0
20091920640,20,091,920640,25,78,8,4,0,32,70,12,0
20091920650,20,091,920650,87.2,73.3,8.6,2.6,2.7,67.9,89.7,13.8,0
20091920660,20,091,920660,2.2,3.2,0,0,0,1.2,3.2,0,0
20091920670,20,091,920670,134.7,197.3,13.4,4.8,5.8,123.3,218.2,10.6,0
20091920680,20,091,920680,229.9,388.9,40,16,8,182.9,372.9,121,0
20091920690,20,091,920690,0,0,0,0,0,0,0,0,0
20091920700,20,091,920700,9.5,11.5,1.4,0.6,0.8,8.6,12.8,1.9,0
2009192071A,20,091,92071A,1.2,3.2,0.1,0.1,0,1.2,3.1,0.3,0
20091920720,20,091,920720,0.1,0.2,0,0,0,0.1,0.2,0,0
20091920730,20,091,920730,0,0.1,0,0,0,0,0.1,0,0
20091920740,20,091,920740,0,0,0,0,0,0,0,0,0
20091920750,20,091,920750,0,3,0,0,0,0,2,1,0
20091920760,20,091,920760,29,70.9,8,1,1,24,70.9,13,1
20091920770,20,091,920770,9.6,22.7,0.8,1,0.2,9.4,22.6,2.6,0
20091920790,20,091,920790,3.5,11.5,0.5,0.3,0.3,3,9.6,3.1,0
20091920800,20,091,920800,0.7,1.9,0.1,0,0.1,0.7,1.9,0.2,0
20091920810,20,091,920810,0,0,0,0,0,0,0,0,0
20091920820,20,091,920820,49,66,4,3,1,44,69,6,0
20091920830,20,091,920830,118,114,29,5,5,116,133,16,0
20091920840,20,091,920840,1.2,3.5,0.2,0.1,0.1,1.2,3.8,0,0
20091920850,20,091,920850,40,39,10,0,2,34,49,3,1
20091920860,20,091,920860,142,220,22,4,6,128,239,28,0
20091920870,20,091,920870,370,356,23,9,23,290,453,27,1
20091920880,20,091,920880,387,375,29,7,21,304,492,16,0
20091920890,20,091,920890,186.1,357.1,17,4,9,134.1,426.2,8,0
20091920900,20,091,920900,4,5,0,0,0,4,5,0,0
20091920910,20,091,920910,78.3,93.2,8.4,0.9,1.9,67.1,105.3,6.5,0.9
20091920920,20,091,920920,406.5,554.8,43.8,14.3,14.3,333.2,648.6,43.8,0
20091920930,20,091,920930,559.1,781.1,78,29,32,506.1,881.2,69,1
20091920940,20,091,920940,438.7,243,44,24.4,13.3,403.2,291.8,50.1,1
20091920950,20,091,920950,34,38,5,0,2,19,52,1,0
20091920960,20,091,920960,369,462,27,16,26,323,529,28,1
20091920970,20,091,920970,247,346,25,7,11,200,403,16,0
20091920980,20,091,920980,68,74,18,3,9,56,95,17,0
20091920990,20,091,920990,0.8,2.8,0.1,0,0.1,0.6,3,0.2,0
20091921000,20,091,921000,1,0,0,0,0,0,0,1,0
20091921010,20,091,921010,562,1028,75,16,32,423,1186,66,0
20091921020,20,091,921020,545,655.2,89,24,30.3,462.7,774.3,77.2,0.1
20091921030,20,091,921030,335,347,64,11,14,309,418,28,0
20091921040,20,091,921040,489.1,701.2,77.9,22.6,25.2,431.4,790.1,76.1,0.1
20091921050,20,091,921050,244.6,430.9,33,5.8,15.5,196.1,508.6,22.3,0
20091921070,20,091,921070,4.3,8.2,1.1,0.3,0.2,3.6,7.9,2.4,0
