GEOID,area_land,area_water,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREADEL,G20USSDGID,G20USSRCOL,G20USSISAV,G20USSILIN
230010102004013,8707,0,20,14,1,0,0,16,16,1,1
230010102004014,17347,0,168,120,6,3,0,138,141,13,5
230010103001000,89703,0,33,24,1,1,0,27,28,2,1
230010103001001,20190,0,3,2,0,0,0,2,2,0,0
230010103001002,9703,0,20,14,1,0,0,16,17,1,1
230010103001003,10733,0,2,1,0,0,0,1,1,0,0
230010103001004,29431,0,0,0,0,0,0,0,0,0,0
230010103001005,24226,0,0,0,0,0,0,0,0,0,0
230010103001006,25178,0,13,9,0,0,0,10,11,1,0
230010103001007,16018,0,0,0,0,0,0,0,0,0,0
230010103001008,14526,0,3,2,0,0,0,3,3,0,0
230010103001009,34647,0,46,33,2,1,0,37,38,3,1
230010103001010,16015,0,0,0,0,0,0,0,0,0,0
230010103001011,16947,0,18,13,1,0,0,15,15,1,1
230010103001012,9893,0,1,1,0,0,0,1,1,0,0
230010103001013,348747,1250,6,5,0,0,0,5,6,1,0
230010103001014,34991,0,18,17,1,0,0,14,20,2,1
230010103001015,12058,0,30,22,1,1,0,25,25,2,1
230010103001016,32948,0,14,10,1,0,0,12,12,1,0
230010103001017,31434,0,1,1,0,0,0,1,1,0,0
230010103001018,11121,0,8,6,0,0,0,7,7,1,0
230010103001019,112341,0,2,2,0,0,0,2,2,0,0
230010103001020,23181,0,0,0,0,0,0,0,0,0,0
230010103002000,12391,0,46,33,2,1,0,38,39,3,1
230010103002001,11598,0,12,8,0,0,0,9,10,1,0
230010103002002,5521,0,0,0,0,0,0,0,0,0,0
230010103002003,31537,0,4,3,0,0,0,3,3,0,0
230010103002004,10576,0,212,152,8,4,0,174,178,16,6
230010103002005,11051,0,0,0,0,0,0,0,0,0,0
230010103002006,9693,0,9,8,0,0,0,7,10,1,0
230010103002007,7376,0,6,6,0,0,0,5,7,1,0
230010103002008,11753,0,2,2,0,0,0,1,2,0,0
230010103002009,3543,0,0,0,0,0,0,0,0,0,0
230010103003000,40384,0,5,3,0,0,0,4,4,0,0
230010103003001,2086,0,16,12,1,0,0,13,14,1,0
230010103003002,16431,0,2,2,0,0,0,1,2,0,0
230010103003003,22989,0,4,3,0,0,0,3,4,0,0
230010103003004,6604,0,0,0,0,0,0,0,0,0,0
230010103003005,10788,0,8,5,0,0,0,6,6,1,0
230010103003006,11536,0,0,0,0,0,0,0,0,0,0
230010103003007,5350,0,0,0,0,0,0,0,0,0,0
230010103003008,8781,0,2,2,0,0,0,1,2,0,0
230010103003009,15920,0,1,1,0,0,0,0,1,0,0
230010104001000,3263,0,3,3,0,0,0,3,3,0,0
230010104001001,15576,0,5,5,0,0,0,4,6,0,0
230010104001002,15837,0,16,15,1,0,0,13,18,2,1
230010104001003,13168,0,4,4,0,0,0,3,4,0,0
230010104001004,2169,0,1,1,0,0,0,0,1,0,0
230010104001005,451535,0,17,16,1,0,0,13,18,2,1
230010104001006,6783,0,0,0,0,0,0,0,0,0,0
230010104001007,16078,0,11,10,0,0,0,9,12,1,0
230010104001008,12347,0,7,6,0,0,0,5,7,1,0
230010104001009,11336,0,14,14,0,0,0,11,15,1,1
230010104001010,14523,0,11,10,0,0,0,9,12,1,0
230010104001011,18239,0,77,72,3,1,1,61,83,7,3
230010104001012,12079,0,15,14,1,0,0,12,16,1,1
230010104001013,16003,0,9,8,0,0,0,7,9,1,0
230010104001014,8264,0,1,1,0,0,0,1,2,0,0
230010104001015,12161,0,0,0,0,0,0,0,0,0,0
230010104001016,13342,0,6,6,0,0,0,5,7,1,0
230010104001017,24567,0,2,2,0,0,0,2,3,0,0
230010104001018,61917,0,1,1,0,0,0,1,1,0,0
230010104001019,0,17823,3,3,0,0,0,2,3,0,0
230010104001020,8565,0,7,7,0,0,0,6,8,1,0
230010104001021,9353,0,7,7,0,0,0,6,8,1,0
230010104001022,12053,0,4,4,0,0,0,3,4,0,0
230010104001023,11978,0,1,1,0,0,0,1,1,0,0
230010104002000,15820,0,0,0,0,0,0,0,0,0,0
230010104002001,41956,574,4,4,0,0,0,3,4,0,0
230010104002002,83316,0,21,19,1,0,0,16,22,2,1
230010104002003,96338,0,6,5,0,0,0,5,6,1,0
230010104002004,0,8990,5,5,0,0,0,4,6,0,0
230010104002005,147158,0,0,0,0,0,0,0,0,0,0
230010104002006,18456,0,0,0,0,0,0,0,0,0,0
230010104002007,122896,0,5,4,0,0,0,4,5,0,0
230010104002008,5825,0,6,5,0,0,0,5,6,1,0
230010104002009,126250,0,49,46,2,1,0,39,53,5,2
230010104002010,36979,0,25,18,1,0,0,21,21,2,1
230010104002011,0,8786,6,5,0,0,0,4,6,1,0
230010104002012,29254,0,10,9,0,0,0,8,11,1,0
230010104002013,22400,0,28,20,1,0,0,23,23,2,1
230010104002014,17342,0,20,19,1,0,0,16,21,2,1
230010104002015,22509,0,1,1,0,0,0,1,2,0,0
230010104003000,27081,0,9,6,0,0,0,7,7,1,0
230010104003001,54524,0,0,0,0,0,0,0,0,0,0
230010104003002,8146,0,0,0,0,0,0,0,0,0,0
230010104003003,585720,2079,4,4,0,0,0,3,4,0,0
230010104003004,14244,0,7,5,0,0,0,6,6,1,0
230010104003005,10625,0,0,0,0,0,0,0,0,0,0
230010104003006,14779,0,33,24,1,1,0,27,28,2,1
230010104003007,21484,0,0,0,0,0,0,0,0,0,0
230010104003008,52792,0,1,1,0,0,0,1,2,0,0
230010105001000,2884,0,6,5,0,0,0,5,6,1,0
230010105001001,8661,0,0,0,0,0,0,0,0,0,0
230010105001002,8547,0,0,0,0,0,0,0,0,0,0
230010105001003,4929,0,36,33,2,1,0,29,37,4,2
230010105001004,3796,0,0,0,0,0,0,0,0,0,0
230010105001005,8918,0,42,38,2,1,0,33,43,5,2
230010105001006,7191,0,10,9,0,0,0,8,10,1,1
230010105001007,10285,0,0,0,0,0,0,0,0,0,0
230010105001008,13762,0,6,5,0,0,0,5,6,1,0
230010105001009,8853,0,23,21,1,1,0,19,24,3,1
230010105001010,8697,0,7,6,0,0,0,5,7,1,0
230010105001011,8736,0,32,29,1,1,0,25,33,4,2
230010105001012,8759,0,11,10,0,0,0,9,11,1,1
230010105001013,8658,0,0,0,0,0,0,0,0,0,0
230010105001014,14822,0,34,30,2,1,0,27,35,4,2
230010105001015,26176,0,4,4,0,0,0,3,4,0,0
230010105001016,8851,0,0,0,0,0,0,0,0,0,0
230010105001017,17296,0,19,17,1,1,0,15,20,2,1
230010105001018,8792,0,11,10,1,0,0,9,12,1,1
230010105001019,11735,0,20,18,1,1,0,15,20,2,1
230010105001020,91639,0,7,7,0,0,0,6,8,1,0
230010105002000,0,12837,0,0,0,0,0,0,0,0,0
230010105002001,0,21373,30,28,1,1,0,24,33,3,1
230010105002002,59751,0,9,8,0,0,0,7,9,1,0
230010105002003,20203,0,1,1,0,0,0,1,1,0,0
230010105002004,2699,0,5,4,0,0,0,4,5,1,0
230010105002005,24475,0,1,1,0,0,0,1,1,0,0
230010105002006,0,50678,13,12,1,0,0,11,14,2,1
230010105002007,24276,0,5,5,0,0,0,4,5,1,0
230010105002008,10483,0,19,17,1,0,0,15,19,2,1
230010105002009,4914,0,29,26,1,1,0,23,29,3,2
230010105002010,6964,0,0,0,0,0,0,0,0,0,0
230010105002011,9288,0,9,8,0,0,0,7,9,1,0
230010105002012,2358,0,8,7,0,0,0,6,8,1,0
230010105002013,8377,0,24,21,1,1,0,19,25,3,1
230010105002014,5960,0,17,15,1,0,0,13,17,2,1
230010105002015,8689,0,12,11,1,0,0,9,12,1,1
230010105002016,8705,0,15,13,1,0,0,12,15,2,1
230010105002017,8597,0,2,2,0,0,0,1,2,0,0
230010105002018,8751,0,0,0,0,0,0,0,0,0,0
230010105002019,21070,0,6,5,0,0,0,5,6,1,0
