GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDMIL,G18GOVRMOO,G18GOVIHAY,G18GOVOWRI,G18USSDRIN,G18USSRBRA,G18USSIKIN,G18USSOWRI
23031048750,23,031,048750,267.5,399.8,53.7,0,63.6,332.2,316.3,0
23031050325,23,031,050325,987,1148,137,0,270,964,1061,0
23031054980,23,031,054980,539.6,270.8,34.8,0,148.3,212.1,482.8,0
23031055085,23,031,055085,2619,1771,286,1,541,1350,2801,0
23031056870,23,031,056870,328.2,425.2,48.2,0,82.2,330.9,365.6,0
23031067475,23,031,067475,455.5,725.2,82.3,0,105.3,587.8,574.7,0
23031070030,23,031,070030,1885,1238,190,1,616,1025,1666,0
23031080530,23,031,080530,1135,1740,211,0,259,1387,1469,0
23031081475,23,031,081475,2989.4,2550.2,335.2,0,729.7,2071.9,3082.2,0
23031087985,23,031,087985,4484,2732,438,0,1069,2254,4417,0
23031646751,23,031,646751,680.8,542.4,76.5,0,114.3,408.7,783.5,0
23031646752,23,031,646752,645,600,68,0,119,456,739,0
23031646753,23,031,646753,646.5,494.9,65.6,1,148.7,380.2,680,0
23031646754,23,031,646754,916.2,586.8,68.4,0,105,447.8,1006.5,0
23031646755,23,031,646755,750.2,498.9,73.8,0,174.7,367.7,758.6,0
23031646756,23,031,646756,817.4,457.3,69,0,148.6,343.2,848.9,0
23031646757,23,031,646757,696.9,313.1,70.1,0,164.7,236.8,674.6,0
23031657251,23,031,657251,1136,1104,162,0,263,818,1249,0
23031657252,23,031,657252,1116,1059,176,0,307,835,1229,0
23031657253,23,031,657253,1143,1304,158,0,300,1005,1330,0
